id,name,symbol
bitcoin,Bitcoin,BTC
ethereum,Ethereum,ETH
ripple,Ripple,XRP
bitcoin-cash,Bitcoin Cash,BCH
eos,EOS,EOS
litecoin,Litecoin,LTC
cardano,Cardano,ADA
stellar,Stellar,XLM
iota,IOTA,MIOTA
tron,TRON,TRX
neo,NEO,NEO
monero,Monero,XMR
dash,Dash,DASH
tether,Tether,USDT
nem,NEM,XEM
vechain,VeChain,VEN
binance-coin,Binance Coin,BNB
ethereum-classic,Ethereum Classic,ETC
qtum,Qtum,QTUM
omisego,OmiseGO,OMG
ontology,Ontology,ONT
bytecoin-bcn,Bytecoin,BCN
icon,ICON,ICX
lisk,Lisk,LSK
zcash,Zcash,ZEC
zilliqa,Zilliqa,ZIL
bitcoin-gold,Bitcoin Gold,BTG
aeternity,Aeternity,AE
decred,Decred,DCR
0x,0x,ZRX
bytom,Bytom,BTM
steem,Steem,STEEM
verge,Verge,XVG
bitshares,BitShares,BTS
siacoin,Siacoin,SC
rchain,RChain,RHOC
nano,Nano,NANO
maker,Maker,MKR
golem-network-tokens,Golem,GNT
wanchain,Wanchain,WAN
populous,Populous,PPT
bitcoin-diamond,Bitcoin Diamond,BCD
bitcoin-private,Bitcoin Private,BTCP
stratis,Stratis,STRAT
waves,Waves,WAVES
dogecoin,Dogecoin,DOGE
augur,Augur,REP
waltonchain,Waltonchain,WTC
iostoken,IOST,IOST
digibyte,DigiByte,DGB
status,Status,SNT
nebulas-token,Nebulas,NAS
waykichain,WaykiChain,WICC
hshare,Hshare,HSR
mixin,Mixin,XIN
aion,Aion,AION
digixdao,DigixDAO,DGD
huobi-token,Huobi Token,HT
loopring,Loopring,LRC
basic-attention-token,Basic Attention Token,BAT
komodo,Komodo,KMD
aelf,aelf,ELF
ark,Ark,ARK
ardor,Ardor,ARDR
cybermiles,CyberMiles,CMT
gxchain,GXChain,GXS
maidsafecoin,MaidSafeCoin,MAID
pivx,PIVX,PIVX
bancor,Bancor,BNT
dentacoin,Dentacoin,DCN
elastos,Elastos,ELA
monacoin,MonaCoin,MONA
loom-network,Loom Network,LOOM
skycoin,Skycoin,SKY
cryptonex,Cryptonex,CNX
moac,MOAC,MOAC
gas,Gas,GAS
